# time translation_x translation_y translation_z quaternion_w quaternion_x quaternion_y quaternion_z
0.000000 0 0.034057348967 0 1 0 0 0
0.041667 0 0.034057348967 0 1 0 0 0
0.083333 0 0.034057348967 0 1 0 0 0
0.125000 0 0.034057348967 0 1 0 0 0
0.166667 0 0.034057348967 0 1 0 0 0
0.208333 0 0.034057348967 0 1 0 0 0
0.250000 0 0.034057348967 0 1 0 0 0
0.291667 0 0.034057348967 0 1 0 0 0
0.333333 0 0.034057348967 0 1 0 0 0
0.375000 0 0.034057348967 0 1 0 0 0
0.416667 0 0.034057348967 0 1 0 0 0
0.458333 0 0.034057348967 0 1 0 0 0
0.500000 0 0.034057348967 0 1 0 0 0
0.541667 0 0.034057348967 0 1 0 0 0
0.583333 0 0.034057348967 0 1 0 0 0
0.625000 0 0.034057348967 0 1 0 0 0
0.666667 0 0.034057348967 0 1 0 0 0
0.708333 0 0.034057348967 0 1 0 0 0
0.750000 0 0.034057348967 0 1 0 0 0
0.791667 0 0.034057348967 0 1 0 0 0
0.833333 0 0.034057348967 0 1 0 0 0
0.875000 0 0.034057348967 0 1 0 0 0
0.916667 0 0.034057348967 0 1 0 0 0
0.958333 0 0.034057348967 0 1 0 0 0
1.000000 0 0.034057348967 0 1 0 0 0
1.041667 0 0.034057348967 0 1 0 0 0
1.083333 0 0.034057348967 0 1 0 0 0
1.125000 0 0.034057348967 0 1 0 0 0
1.166667 0 0.034057348967 0 1 0 0 0
1.208333 0 0.034057348967 0 1 0 0 0
1.250000 0 0.034057348967 0 1 0 0 0
1.291667 0 0.034057348967 0 1 0 0 0
1.333333 0 0.034057348967 0 1 0 0 0
1.375000 0 0.034057348967 0 1 0 0 0
1.416667 0 0.034057348967 0 1 0 0 0
1.458333 0 0.034057348967 0 1 0 0 0
1.500000 0 0.034057348967 0 1 0 0 0
1.541667 0 0.034057348967 0 1 0 0 0
1.583333 0 0.034057348967 0 1 0 0 0
1.625000 0 0.034057348967 0 1 0 0 0
1.666667 0 0.034057348967 0 1 0 0 0
1.708333 0 0.034057348967 0 1 0 0 0
1.750000 0 0.034057348967 0 1 0 0 0
1.791667 0 0.034057348967 0 1 0 0 0
1.833333 0 0.034057348967 0 1 0 0 0
1.875000 0 0.034057348967 0 1 0 0 0
1.916667 0 0.034057348967 0 1 0 0 0
1.958333 0 0.034057348967 0 1 0 0 0
2.000000 0 0.034057348967 0 1 0 0 0
2.041667 0 0.034057348967 0 1 0 0 0
2.083333 0 0.034057348967 0 1 0 0 0
2.125000 0 0.034057348967 0 1 0 0 0
2.166667 0 0.034057348967 0 1 0 0 0
2.208333 0 0.034057348967 0 1 0 0 0
2.250000 0 0.034057348967 0 1 0 0 0
2.291667 0 0.034057348967 0 1 0 0 0
2.333333 0 0.034057348967 0 1 0 0 0
2.375000 0 0.034057348967 0 1 0 0 0
2.416667 0 0.034057348967 0 1 0 0 0
2.458333 0 0.034057348967 0 1 0 0 0
2.500000 0 0.034057348967 0 1 0 0 0
2.541667 0 0.034057348967 0 1 0 0 0
2.583333 0 0.034057348967 0 1 0 0 0
